GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ToDoList,com.softserve.itacademy,ToDoListApplication,5,75,0,0,2,18,1,2,1,2
ToDoList,com.softserve.itacademy.model,User,2,221,9,13,0,37,9,21,0,19
ToDoList,com.softserve.itacademy.model,Task,262,11,46,0,8,2,36,3,13,3
ToDoList,com.softserve.itacademy.model,Role,0,39,0,0,0,10,0,7,0,7
ToDoList,com.softserve.itacademy.model,State,113,68,21,9,2,6,19,8,4,8
ToDoList,com.softserve.itacademy.model,ToDo,36,142,14,4,4,29,9,16,0,16
ToDoList,com.softserve.itacademy.model,Priority,0,34,0,0,0,2,0,1,0,1
